21:06:43:689  WARN 329451 --- [Thread-1] c.a.n.common.http.HttpClientBeanHolder   : [HttpClientBeanHolder] Start destroying common HttpClient
21:06:43:689  WARN 329451 --- [Thread-5] c.a.nacos.common.notify.NotifyCenter     : [NotifyCenter] Destruction of the end
21:06:43:689  WARN 329451 --- [Thread-1] c.a.n.common.http.HttpClientBeanHolder   : [HttpClientBeanHolder] Destruction of the end
21:06:43:704  INFO 329451 --- [SpringApplicationShutdownHook] c.a.c.n.registry.NacosServiceRegistry    : De-registering from Nacos Server now...
21:06:43:707  INFO 329451 --- [SpringApplicationShutdownHook] c.a.c.n.registry.NacosServiceRegistry    : De-registration finished.
21:06:44:011  INFO 329451 --- [SpringApplicationShutdownHook] com.alibaba.nacos.common.remote.client   : Shutdown rpc client, set status to shutdown
21:06:44:011  INFO 329451 --- [SpringApplicationShutdownHook] com.alibaba.nacos.common.remote.client   : Shutdown client event executor java.util.concurrent.ScheduledThreadPoolExecutor@79671491[Running, pool size = 2, active threads = 2, queued tasks = 0, completed tasks = 0]
21:06:44:011  INFO 329451 --- [SpringApplicationShutdownHook] com.alibaba.nacos.common.remote.client   : Close current connection 1707656546137_172.19.0.1_38286
21:06:44:013  INFO 329451 --- [nacos-grpc-client-executor-78] c.a.n.c.remote.client.grpc.GrpcClient    : [1707656546137_172.19.0.1_38286]Ignore complete event,isRunning:false,isAbandon=false
21:06:44:013  INFO 329451 --- [SpringApplicationShutdownHook] c.a.n.c.remote.client.grpc.GrpcClient    : Shutdown grpc executor java.util.concurrent.ThreadPoolExecutor@aa490ad[Running, pool size = 5, active threads = 0, queued tasks = 0, completed tasks = 79]
21:06:59:513  INFO 334975 --- [main] com.hmall.gateway.GatewayApplication     : The following 1 profile is active: "dev"
21:07:00:033  INFO 334975 --- [main] o.s.cloud.context.scope.GenericScope     : BeanFactory id=2c65178b-e10a-3fa4-8e74-3fe0234f10a1
21:07:00:069  INFO 334975 --- [main] trationDelegate$BeanPostProcessorChecker : Bean 'org.springframework.cloud.client.loadbalancer.reactive.LoadBalancerBeanPostProcessorAutoConfiguration' of type [org.springframework.cloud.client.loadbalancer.reactive.LoadBalancerBeanPostProcessorAutoConfiguration] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
21:07:00:070  INFO 334975 --- [main] trationDelegate$BeanPostProcessorChecker : Bean 'org.springframework.cloud.client.loadbalancer.reactive.LoadBalancerBeanPostProcessorAutoConfiguration$ReactorDeferringLoadBalancerFilterConfig' of type [org.springframework.cloud.client.loadbalancer.reactive.LoadBalancerBeanPostProcessorAutoConfiguration$ReactorDeferringLoadBalancerFilterConfig] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
21:07:00:071  INFO 334975 --- [main] trationDelegate$BeanPostProcessorChecker : Bean 'reactorDeferringLoadBalancerExchangeFilterFunction' of type [org.springframework.cloud.client.loadbalancer.reactive.DeferringLoadBalancerExchangeFilterFunction] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
21:07:01:026  INFO 334975 --- [main] o.s.c.g.r.RouteDefinitionRouteLocator    : Loaded RoutePredicateFactory [After]
21:07:01:026  INFO 334975 --- [main] o.s.c.g.r.RouteDefinitionRouteLocator    : Loaded RoutePredicateFactory [Before]
21:07:01:026  INFO 334975 --- [main] o.s.c.g.r.RouteDefinitionRouteLocator    : Loaded RoutePredicateFactory [Between]
21:07:01:026  INFO 334975 --- [main] o.s.c.g.r.RouteDefinitionRouteLocator    : Loaded RoutePredicateFactory [Cookie]
21:07:01:026  INFO 334975 --- [main] o.s.c.g.r.RouteDefinitionRouteLocator    : Loaded RoutePredicateFactory [Header]
21:07:01:027  INFO 334975 --- [main] o.s.c.g.r.RouteDefinitionRouteLocator    : Loaded RoutePredicateFactory [Host]
21:07:01:027  INFO 334975 --- [main] o.s.c.g.r.RouteDefinitionRouteLocator    : Loaded RoutePredicateFactory [Method]
21:07:01:027  INFO 334975 --- [main] o.s.c.g.r.RouteDefinitionRouteLocator    : Loaded RoutePredicateFactory [Path]
21:07:01:027  INFO 334975 --- [main] o.s.c.g.r.RouteDefinitionRouteLocator    : Loaded RoutePredicateFactory [Query]
21:07:01:027  INFO 334975 --- [main] o.s.c.g.r.RouteDefinitionRouteLocator    : Loaded RoutePredicateFactory [ReadBody]
21:07:01:027  INFO 334975 --- [main] o.s.c.g.r.RouteDefinitionRouteLocator    : Loaded RoutePredicateFactory [RemoteAddr]
21:07:01:027  INFO 334975 --- [main] o.s.c.g.r.RouteDefinitionRouteLocator    : Loaded RoutePredicateFactory [XForwardedRemoteAddr]
21:07:01:027  INFO 334975 --- [main] o.s.c.g.r.RouteDefinitionRouteLocator    : Loaded RoutePredicateFactory [Weight]
21:07:01:027  INFO 334975 --- [main] o.s.c.g.r.RouteDefinitionRouteLocator    : Loaded RoutePredicateFactory [CloudFoundryRouteService]
21:07:01:530  INFO 334975 --- [main] com.alibaba.nacos.common.remote.client   : [RpcClientFactory] create a new rpc client of a49bb31a-237a-4b95-983e-934f9acbb0fd
21:07:01:530  INFO 334975 --- [main] com.alibaba.nacos.common.remote.client   : [a49bb31a-237a-4b95-983e-934f9acbb0fd] RpcClient init label, labels = {module=naming, source=sdk}
21:07:01:532  INFO 334975 --- [main] com.alibaba.nacos.common.remote.client   : [a49bb31a-237a-4b95-983e-934f9acbb0fd] RpcClient init, ServerListFactory = com.alibaba.nacos.client.naming.core.ServerListManager
21:07:01:532  INFO 334975 --- [main] com.alibaba.nacos.common.remote.client   : [a49bb31a-237a-4b95-983e-934f9acbb0fd] Registry connection listener to current client:com.alibaba.nacos.client.naming.remote.gprc.redo.NamingGrpcRedoService
21:07:01:533  INFO 334975 --- [main] com.alibaba.nacos.common.remote.client   : [a49bb31a-237a-4b95-983e-934f9acbb0fd] Register server push request handler:com.alibaba.nacos.client.naming.remote.gprc.NamingPushRequestHandler
21:07:01:534  INFO 334975 --- [main] com.alibaba.nacos.common.remote.client   : [a49bb31a-237a-4b95-983e-934f9acbb0fd] Try to connect to server on start up, server: {serverIp = 'localhost', server main port = 8848}
21:07:01:659  INFO 334975 --- [main] com.alibaba.nacos.common.remote.client   : [a49bb31a-237a-4b95-983e-934f9acbb0fd] Success to connect to server [localhost:8848] on start up, connectionId = 1707656821546_172.19.0.1_51248
21:07:01:659  INFO 334975 --- [main] com.alibaba.nacos.common.remote.client   : [a49bb31a-237a-4b95-983e-934f9acbb0fd] Register server push request handler:com.alibaba.nacos.common.remote.client.RpcClient$ConnectResetRequestHandler
21:07:01:659  INFO 334975 --- [main] com.alibaba.nacos.common.remote.client   : [a49bb31a-237a-4b95-983e-934f9acbb0fd] Register server push request handler:com.alibaba.nacos.common.remote.client.RpcClient$$Lambda$472/0x000000080043e440
21:07:01:659  INFO 334975 --- [com.alibaba.nacos.client.remote.worker] com.alibaba.nacos.common.remote.client   : [a49bb31a-237a-4b95-983e-934f9acbb0fd] Notify connected event to listeners.
21:07:01:757  INFO 334975 --- [main] o.s.b.web.embedded.netty.NettyWebServer  : Netty started on port 8080
21:07:01:795  INFO 334975 --- [main] c.a.c.n.registry.NacosServiceRegistry    : nacos registry, DEFAULT_GROUP hm-gateway 192.168.10.123:8080 register finished
21:07:01:813  INFO 334975 --- [main] com.hmall.gateway.GatewayApplication     : Started GatewayApplication in 3.815 seconds (JVM running for 4.363)
21:07:01:818  INFO 334975 --- [main] c.a.c.n.refresh.NacosContextRefresher    : [Nacos Config] Listening config: dataId=hm-gateway-dev.yaml, group=DEFAULT_GROUP
21:07:01:819  INFO 334975 --- [main] c.a.c.n.refresh.NacosContextRefresher    : [Nacos Config] Listening config: dataId=hm-gateway, group=DEFAULT_GROUP
21:07:01:819  INFO 334975 --- [main] c.a.c.n.refresh.NacosContextRefresher    : [Nacos Config] Listening config: dataId=hm-gateway.yaml, group=DEFAULT_GROUP
21:07:02:218  INFO 334975 --- [nacos-grpc-client-executor-9] com.alibaba.nacos.common.remote.client   : [a49bb31a-237a-4b95-983e-934f9acbb0fd] Receive server push request, request = NotifySubscriberRequest, requestId = 214
